Customer ID,Monetary,Recency,Frequency,R_score,F_score,M_score,Segment
12347.0,4921.53,2.0,8.0,5,4,5,VIP / Khach hang trung thanh
12348.0,2019.4,75.0,5.0,3,4,4,Khach hang trung binh
12349.0,4404.54,19.0,4.0,5,3,5,Khach hang trung binh
12350.0,334.4,310.0,1.0,2,1,2,Da roi bo / Khong con hoat dong
12351.0,300.93,375.0,1.0,2,1,2,Da roi bo / Khong con hoat dong
12352.0,1889.21,36.0,10.0,4,5,4,VIP / Khach hang trung thanh
12353.0,406.76,204.0,2.0,2,2,2,Da roi bo / Khong con hoat dong
12354.0,1079.4,232.0,1.0,2,1,3,Khach hang trung binh
12355.0,947.61,214.0,2.0,2,2,3,Khach hang trung binh
12356.0,6371.73,23.0,6.0,4,4,5,VIP / Khach hang trung thanh
12357.0,18287.66,33.0,3.0,4,3,5,Khach hang trung binh
12358.0,3887.07,2.0,5.0,5,4,5,VIP / Khach hang trung thanh
12359.0,8652.34,58.0,10.0,4,5,5,VIP / Khach hang trung thanh
12360.0,4212.89,52.0,8.0,4,4,5,VIP / Khach hang trung thanh
12361.0,511.25,287.0,4.0,2,3,2,Khach hang trung binh
12362.0,5284.58,3.0,11.0,5,5,5,VIP / Khach hang trung thanh
12363.0,552.0,110.0,2.0,3,2,2,Khach hang trung binh
12364.0,1313.1,8.0,4.0,5,3,4,Khach hang trung binh
12365.0,320.69,291.0,2.0,2,2,2,Da roi bo / Khong con hoat dong
12366.0,500.24,634.0,1.0,1,1,2,Da roi bo / Khong con hoat dong
12367.0,168.9,4.0,1.0,5,1,1,Khach hang moi
12368.0,917.7,628.0,1.0,1,1,3,Khach hang trung binh
12369.0,1791.15,413.0,3.0,1,3,4,Khach hang trung binh
12370.0,4316.56,51.0,7.0,4,4,5,VIP / Khach hang trung thanh
12371.0,4067.38,45.0,5.0,4,4,5,VIP / Khach hang trung thanh
12372.0,1298.04,72.0,3.0,3,3,4,Khach hang trung binh
12373.0,1127.65,311.0,3.0,2,3,3,Khach hang trung binh
12374.0,2989.2200000000003,25.0,4.0,4,3,5,Khach hang trung binh
12375.0,455.42,11.0,2.0,5,2,2,Khach hang moi
12376.0,503.15,390.0,2.0,2,2,2,Da roi bo / Khong con hoat dong
12377.0,3426.32,315.0,4.0,2,3,5,Khach hang trung binh
